"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"C1";"1uF/6,3V";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C2";"1uF/6,3V";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";
"C3";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C4";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C5";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C6";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C7";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C9";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C10";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C11";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C12";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"C13";"0,1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";
"IC1";"M48Z02-70PC1";"M48Z02-70PC1";"DIP254P1524X965-24";"5 V, 16 Kbit (2 Kb x 8) ZEROPOWER® SRAM";"";"M48Z02-70PC1";"9755748";"89K1473";"PDIP-24";"STMICROELECTRONICS";
"IC2";"74LS245DW";"74LS245DW";"SO20W";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";"";
"IC3";"74LS245DW";"74LS245DW";"SO20W";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";"";
"IC4";"74LS245DW";"74LS245DW";"SO20W";"Octal BUS TRANSCEIVER, 3-state";"";"";"";"";"";"";
"IC5";"XC9536_44PLCC";"XC9536_44PLCC";"PLCC44";"xc9536_pc44 XC9500 In-System Programmable CPLD Family";"";"XC9536-15PCG44C";"1193226";"98K3376";"";"";
"IC6";"BS62LV1600EIP55-10ZSXI";"BS62LV1600EIP55-10ZSXI";"TSOPII-Z44";"Source: CYPRESS cy7c1059dv33_8.pdf";"";"";"";"";"";"";
"IC7";"BS62LV1600EIP55-10ZSXI";"BS62LV1600EIP55-10ZSXI";"TSOPII-Z44";"Source: CYPRESS cy7c1059dv33_8.pdf";"";"";"";"";"";"";
"IC8";"LD6815TD/33H";"LD6815TD/33H";"SOT95P275X110-5N";"LDO, 5.5V, 0.25VDO, 0.15A, 3.3V, 5TSOP";"";"LD6815TD/33H";"2308302";"69W9575";"TSOP-5";"NXP";
"SV1";"JTAG";"MA06-1";"MA06-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"SV2";"";"MA06-1";"MA06-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"SV3";"";"MA06-1";"MA06-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"SV4";"RAM/DISK";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"SV5";"ROM IN/OUT";"MA03-1";"MA03-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"SV6";"";"MA08-1";"MA08-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"SV7";"";"MA05-1";"MA05-1";"PIN HEADER";"";"";"unknown";"unknown";"";"";
"X1";"PCMCIA female";"9M681X03TB9M681Z04";"9M681X04";"";"";"";"";"";"";"";
